Longitude,Latitude,Magnitude,Time,Timestamp,Week,Location
105.6,29.47,4.8,2016-12-27 08:17:32,1482797852,13,重庆荣昌区
105.55,29.43,3.9,2016-12-28 12:43:50,1482900230,13,重庆荣昌区
104.72,28.16,4.2,2017-01-15 18:05:35,1484474735,15,四川宜宾市珙县
104.73,28.14,3.7,2017-01-15 19:20:53,1484479253,15,四川宜宾市筠连县
104.76,28.1,4.3,2017-01-18 22:35:13,1484750113,16,四川宜宾市筠连县
104.72,28.09,4.9,2017-01-28 02:46:32,1485542792,17,四川宜宾市筠连县
104.7,28.15,3.7,2017-02-02 08:34:29,1485995669,18,四川宜宾市筠连县
104.87,28.19,4.9,2017-05-04 13:40:20,1493876420,31,四川宜宾市珙县
104.67,28.16,3.6,2017-06-26 08:47:43,1498438063,39,四川宜宾市筠连县
105.42,28.93,3.6,2017-09-12 00:35:04,1505147704,50,四川泸州市龙马潭区
104.54,29.55,3.6,2018-07-23 06:43:49,1532299429,95,四川内江市威远县
104.55,29.55,4.2,2018-07-23 07:02:03,1532300523,95,四川内江市威远县
104.0,27.43,4.4,2018-08-15 21:28:11,1534339691,98,贵州毕节市威宁县
103.96,27.42,3.8,2018-08-18 01:36:37,1534527397,98,贵州毕节市威宁县
104.95,28.24,5.7,2018-12-16 12:46:07,1544935567,115,四川宜宾市兴文县
104.65,28.15,3.8,2018-12-28 16:21:08,1545985268,117,四川宜宾市筠连县
104.86,28.2,5.3,2019-01-03 08:48:06,1546476486,118,四川宜宾市珙县
104.49,29.47,4.7,2019-02-24 05:38:10,1550957890,125,四川自贡市荣县
104.5,29.46,4.3,2019-02-25 08:40:26,1551055226,126,四川自贡市荣县
104.49,29.48,4.9,2019-02-25 13:15:59,1551071759,126,四川自贡市荣县
103.63,28.11,4.1,2019-06-05 15:26:55,1559719615,140,云南昭通市永善县
104.9,28.34,6.0,2019-06-17 22:55:43,1560783343,142,四川宜宾市长宁县
104.84,28.39,3.6,2019-06-17 23:09:01,1560784141,142,四川宜宾市长宁县
104.77,28.43,5.1,2019-06-17 23:36:01,1560785761,142,四川宜宾市珙县
104.85,28.39,4.1,2019-06-18 00:29:07,1560788947,142,四川宜宾市长宁县
104.87,28.39,4.2,2019-06-18 00:37:55,1560789475,142,四川宜宾市长宁县
104.92,28.39,3.8,2019-06-18 00:39:11,1560789551,142,四川宜宾市长宁县
104.87,28.38,4.5,2019-06-18 05:03:25,1560805405,142,四川宜宾市长宁县
104.79,28.41,3.9,2019-06-18 05:04:03,1560805443,142,四川宜宾市珙县
104.81,28.4,3.8,2019-06-18 05:49:14,1560808154,142,四川宜宾市珙县
104.89,28.37,5.3,2019-06-18 07:34:33,1560814473,142,四川宜宾市长宁县
104.8,28.39,3.7,2019-06-18 08:14:52,1560816892,142,四川宜宾市珙县
104.75,28.43,3.7,2019-06-18 14:38:35,1560839915,142,四川宜宾市长宁县
104.75,28.41,3.7,2019-06-20 22:01:16,1561039276,142,四川宜宾市珙县
104.78,28.43,3.6,2019-06-21 15:09:55,1561100995,142,四川宜宾市珙县
104.83,28.37,3.6,2019-06-22 20:30:26,1561206626,142,四川宜宾市珙县
104.77,28.43,5.4,2019-06-22 22:29:56,1561213796,142,四川宜宾市珙县
104.82,28.39,4.6,2019-06-23 08:28:17,1561249697,142,四川宜宾市珙县
104.83,28.37,3.8,2019-06-24 07:34:58,1561332898,143,四川宜宾市珙县
104.8,28.44,4.1,2019-06-24 09:23:15,1561339395,143,四川宜宾市长宁县
104.93,28.21,3.9,2019-06-27 16:01:19,1561622479,143,四川宜宾市兴文县
104.85,28.4,4.8,2019-07-03 12:26:53,1562128013,144,四川宜宾市长宁县
104.74,28.41,5.6,2019-07-04 10:17:58,1562206678,144,四川宜宾市珙县
104.91,28.35,4.1,2019-07-22 16:26:36,1563783996,147,四川宜宾市长宁县
104.74,28.17,3.8,2019-07-30 01:04:34,1564419874,148,四川宜宾市珙县
104.87,28.36,4.1,2019-08-13 06:31:53,1565649113,150,四川宜宾市长宁县
104.8,28.44,3.9,2019-09-06 15:25:33,1567754733,153,四川宜宾市长宁县
104.79,29.55,5.4,2019-09-08 06:42:13,1567896133,153,四川内江市威远县
104.53,29.51,4.3,2019-09-08 10:36:22,1567910182,153,四川内江市威远县
104.49,29.51,4.0,2019-09-10 01:27:43,1568050063,154,四川自贡市荣县
104.78,28.41,4.0,2019-09-12 20:17:53,1568290673,154,四川宜宾市珙县
104.94,28.32,3.7,2019-10-21 08:25:37,1571617537,160,四川宜宾市长宁县
104.99,28.17,4.1,2019-11-10 06:46:51,1573339611,162,四川宜宾市兴文县
104.95,28.35,4.0,2019-11-27 21:03:02,1574859782,165,四川宜宾市长宁县
