Longitude,Latitude,Magnitude,Time,Timestamp,Week,Location
103.61,30.1,3.6,2017-01-25 14:38:03,1485326283,17,四川眉山市东坡区
104.56,32.21,3.7,2017-04-11 02:25:05,1491848705,28,四川绵阳市平武县
103.97,31.44,3.9,2017-04-23 05:26:57,1492896417,29,四川德阳市什邡市
105.36,32.38,4.9,2017-07-17 06:55:59,1500245759,42,四川广元市青川县
103.82,33.2,7.0,2017-08-08 21:19:46,1502198386,45,四川阿坝州九寨沟县
103.76,33.3,3.6,2017-08-09 05:16:02,1502226962,45,四川阿坝州九寨沟县
103.87,33.12,3.6,2017-08-09 05:37:14,1502228234,45,四川阿坝州九寨沟县
103.87,33.12,3.7,2017-08-09 08:10:09,1502237409,45,四川阿坝州九寨沟县
103.8,33.28,3.9,2017-08-09 08:29:04,1502238544,45,四川阿坝州九寨沟县
103.85,33.16,3.8,2017-08-09 09:22:14,1502241734,45,四川阿坝州九寨沟县
103.75,33.28,3.7,2017-08-09 09:32:47,1502242367,45,四川阿坝州九寨沟县
103.86,33.16,4.8,2017-08-09 10:17:02,1502245022,45,四川阿坝州九寨沟县
103.79,33.22,3.7,2017-08-10 03:02:13,1502305333,45,四川阿坝州九寨沟县
103.85,33.16,4.3,2017-08-10 05:05:54,1502312754,45,四川阿坝州九寨沟县
103.85,33.22,4.1,2017-08-10 17:48:34,1502358514,45,四川阿坝州九寨沟县
103.87,33.12,3.7,2017-08-12 07:56:39,1502495799,45,四川阿坝州九寨沟县
105.0,32.27,5.4,2017-09-30 14:14:37,1506752077,52,四川广元市青川县
103.8,33.23,4.0,2017-10-06 18:25:34,1507285534,53,四川阿坝州九寨沟县
105.52,32.51,3.6,2017-10-13 04:03:50,1507838630,54,四川广元市青川县
103.7,31.22,3.8,2017-11-06 08:34:13,1509928453,58,四川成都市彭州市
103.79,33.21,4.5,2017-11-07 05:31:08,1510003868,58,四川阿坝州九寨沟县
103.97,31.54,4.2,2017-11-10 11:03:14,1510282994,58,四川德阳市绵竹市
105.02,32.29,4.4,2018-02-18 11:44:11,1518925451,72,四川广元市青川县
104.57,32.17,4.0,2018-06-29 08:42:18,1530232938,91,四川绵阳市平武县
105.69,32.75,5.3,2018-09-12 19:06:34,1536750394,102,陕西汉中市宁强县
103.75,33.33,3.6,2019-06-16 20:51:13,1560689473,141,四川阿坝州九寨沟县
104.25,31.56,4.6,2019-12-09 15:20:57,1575876057,167,四川绵阳市安州区
105.0,32.28,3.7,2019-12-27 03:24:56,1577388296,169,四川广元市青川县
104.46,30.74,5.1,2020-02-03 00:05:41,1580659541,175,四川成都市青白江区
105.39,32.62,3.9,2020-03-06 11:34:44,1583465684,179,四川广元市青川县
104.17,31.84,4.6,2020-10-21 12:04:47,1603253087,212,四川绵阳市北川县
104.18,31.83,4.7,2020-10-22 11:03:37,1603335817,212,四川绵阳市北川县
104.19,31.85,3.6,2020-10-25 02:04:33,1603562673,212,四川绵阳市北川县
105.18,32.08,3.6,2020-10-31 14:38:08,1604126288,213,四川绵阳市江油市
