Longitude,Latitude,Magnitude,Time,Timestamp,Week,Location
101.71,25.12,4.1,2017-07-02 14:34:56,1498977296,39,云南楚雄州禄丰县
101.77,25.21,3.7,2018-04-01 21:10:13,1522588213,78,云南楚雄州禄丰县
102.71,24.19,5.0,2018-08-13 01:44:24,1534095864,98,云南玉溪市通海县
102.72,24.18,3.5,2018-08-13 01:49:23,1534096163,98,云南玉溪市通海县
102.71,24.19,5.0,2018-08-14 03:50:36,1534189836,98,云南玉溪市通海县
101.53,23.28,5.9,2018-09-08 10:31:29,1536373889,101,云南普洱市墨江县
101.57,23.27,4.1,2018-09-08 10:34:25,1536374065,101,云南普洱市墨江县
101.6,23.28,4.7,2018-09-08 10:35:58,1536374158,101,云南普洱市墨江县
102.21,25.89,4.5,2018-10-17 13:29:18,1539754158,107,云南楚雄州武定县
101.67,24.98,4.7,2019-06-24 21:24:21,1561382661,143,云南楚雄州楚雄市
101.99,23.34,3.9,2019-08-31 06:24:54,1567203894,152,云南玉溪市元江县
102.77,24.39,3.5,2019-11-01 03:37:23,1572550643,161,云南玉溪市江川区
103.11,25.54,4.2,2020-01-15 19:34:25,1579088065,172,云南昆明市寻甸县
101.9,23.35,3.5,2020-01-23 05:26:23,1579728383,173,云南红河州红河县
101.93,23.73,3.5,2020-04-11 04:03:06,1586548986,184,云南玉溪市元江县
103.13,26.02,4.2,2020-07-08 10:39:59,1594175999,197,云南昆明市东川区
101.6,23.41,3.5,2020-08-01 06:53:53,1596236033,200,云南普洱市墨江县
