Longitude,Latitude,Magnitude,Time,Timestamp,Week,Location
99.83,25.87,4.7,2017-03-27 07:40:28,1490571628,26,云南大理州漾濞县
99.8,25.89,5.1,2017-03-27 07:55:00,1490572500,26,云南大理州漾濞县
99.81,25.85,4.3,2017-03-27 09:10:26,1490577026,26,云南大理州漾濞县
99.34,25.65,3.7,2017-05-20 00:02:15,1495209735,33,云南大理州云龙县
99.32,23.93,4.6,2018-01-04 05:35:33,1515015333,66,云南临沧市永德县
100.79,24.47,4.0,2018-02-20 22:09:57,1519135797,73,云南普洱市景东县
98.43,23.63,3.6,2018-03-10 06:08:37,1520633317,75,缅甸
98.85,25.09,3.7,2018-03-14 11:15:04,1520997304,76,云南保山市隆阳区
100.23,26.09,3.5,2019-01-08 01:15:36,1546881336,119,云南大理州鹤庆县
99.31,23.94,4.4,2019-03-08 03:37:19,1551987439,127,云南临沧市永德县
100.62,26.16,4.9,2019-07-21 20:23:28,1563711808,146,云南丽江市永胜县
99.03,24.57,3.5,2019-10-15 01:23:55,1571073835,159,云南保山市龙陵县
99.7,25.97,4.3,2019-11-25 01:02:35,1574614955,165,云南大理州洱源县
98.43,23.82,4.3,2020-06-02 09:44:08,1591062248,192,缅甸
99.21,24.95,3.7,2020-07-31 03:28:36,1596137316,200,云南保山市隆阳区
98.48,24.5,3.6,2020-11-21 22:04:46,1605967486,216,云南德宏州芒市
